Query-Context-Relevance-sem_similarity
Query,Context_0_Score,Context_1_Score,Context_2_Score,Context_3_Score,Context_4_Score,Context_5_Score
Welche Regelungen zur Lasersicherheit in Laboren gibt es am AIT?,0.499,0.38,0.484,0.286,0.282,0.293
Ab welchem Betrag muss ein Projekt von der GF freigegeben werden?,0.261,0.291,0.262,0.309,0.258,0.321
Was sind die konzernweit gültigen Homeoffice-Richtlinien?,0.242,0.088,0.202,0.082,0.38,0.327
Was ist bei anstehender Karenz/Sabattical zu beachten?,0.312,0.218,0.398,0.295,0.209,0.171
Wie melde Ich einen Nebenbeschäftigung,0.648,0.475,0.464,0.232,0.31,0.122
Welche Dokumente sind für Gate2 bei Horizon Europe Projekten abzulegen?,0.346,0.46,0.499,0.269,0.229,0.257
Wann und an wen muss ich eine Krankmeldung oder Zeitbestätigung vom Arzt schicken?,0.254,0.442,0.278,0.31,0.322,0.212
Um wieviel Uhr sollte das AIT Gebäude spätestens verlassen werden?,0.188,0.315,0.158,0.141,0.257,0.266
Wie beantrage ich einen Höhenverstellbaren Tisch?,0.312,0.391,0.292,0.213,0.164,0.151
Darf ich während der Homeoffice Zeiten unterwegs arbeiten z.b. im Zug?,0.248,0.295,0.373,0.181,0.15,0.039
Darf man Geschenke annehmen,0.215,0.259,0.184,0.176,0.563,0.279
Erkläre mir die Schritte für eine Nachkalkulation,0.359,0.077,0.35,0.143,0.201,0.427
Wie laufen Rechnungsfreigaben am AIT ab?,0.361,0.454,0.262,0.349,0.378,0.272
Wann erhält man Ersatzruhe?,0.168,0.182,0.307,0.195,0.266,0.377
"Frage: Welche Schritte muss man befolgen, um Inventar auszubuchen? Antwort: Um Inventar auszubuchen befolgen Sie bitte folgende Schritte: - Füllen Sie das Formular I10-MD01-AIT (mit Link versehen) aus - Senden Sie das Formular an XY. - Stellen Sie das Inventar zur Abholung bereit. Weitere Informationen finden Sie in den folgenden Dokumenten: ....",0.422,0.448,0.512,0.588,0.326,0.404
"Mein Kind ist krank geworden, und ich muss zu Hause bleiben. Muss ich administrativ etwas unternehmen?",0.193,0.207,0.261,0.162,0.26,0.23
Wie unterscheiden sich die Prozesse zwischen Auftragsforschung und Ko-finanzierten Projekten?,0.407,0.391,0.339,0.277,0.222,0.408
Beschreibe mir den Ablauf eines AF Projektes?,0.395,0.408,0.169,0.157,0.131,0.497
Welche QM-Dokumente gelten speziell für meine Competence Unit?,0.376,0.396,0.471,0.297,0.402,0.285
"Wie kann ich Reisekosten geltend machen, wenn ich für die Dienstreise mein Klimaticket verwendet habe?",0.56,0.424,0.434,0.215,0.354,0.267
Wer ist der DPO am AIT?,0.452,0.228,0.401,0.138,0.109,0.12
Welche QM-Dokumente gibt es im Bereich Security?,0.383,0.383,0.335,0.24,0.235,0.286
Wie ist QM am AIT organisiert,0.386,0.308,0.187,0.32,0.207,0.416
Wer sind ISO14011 Verantwortliche,0.394,0.148,0.363,0.307,0.338,0.507
Wer sind die QM Verantwortlichen,0.46,0.464,0.245,0.449,0.235,0.13
Wie erfolgt das Risikomanagement für Projekte?,0.486,0.39,0.466,0.377,0.383,0.247
Wir möchten einen Ebent bzw. eine Organisation sponsern. Was müssen wir beachten und wie gehe ich vor?,0.166,0.324,0.288,0.253,0.267,0.273
"Ich möchte einen Projektantrag einreichen, welche AIT-internen Prozesse muss ich bis wann einhalten, um den Antrag fristgerecht einreichen zu können?",0.144,0.303,0.414,0.331,0.283,0.35
Wie ist Telearbeit geregelt,0.584,0.364,0.382,0.061,0.087,0.315
Wie ist der QM-Prozess zur Validierung von Labormessgeräten?,0.404,0.305,0.505,0.421,0.245,0.238
Was ist ein HOC? Wer ist der für mich (oder <Person XY> oder <Abteilung XY>) zuständige HOC?,0.482,0.224,0.281,0.234,0.226,0.236
Wo muss ich die Ergebnisse der Lessons Learned ablegen?,0.137,0.232,0.293,0.22,0.332,0.216
"Ich muss am Wochenende Arbeiten, um eine Projekt-Deadline einhalten zu können. Welche Genehmigung brauche ich dafür?",0.4,0.233,0.369,0.29,0.356,0.35
"Meine Dienstreise beginnt am Sa, um rechtzeitig Mo Früh bei einer Konferenz zu sein (Flugreise). Welche max. Arbeitszeiten muss ich hier beachten. Gibt es sonstige Probleme die sich durch die Reisezeit am Wochenende ergeben? Brauche ich besondere Freigaben? Wenn die Reise auch den Sonntag betrifft (Reise Flug Economy), gebührt mir dann Ersatzruhe?",0.353,0.044,0.364,0.2,0.31,0.228
Was ist bei dem versenden von Ergebnisberichten zu beachten? Hier gilt das 4-Augen-Prinzip. Ein Ergebnisbericht ist vom Erstautor:in im Doxis abzulegen und einer weiteren Person zu stempeln. Siehe auch RL01-AIT Kapitel 4.3.,0.502,0.391,0.246,0.32,0.311,0.333
Frage: Wie wird in unseren Projekten mit Haftung umgegangen:    Bot: Die Haftung und Gewährleistung wird in den ALBs (W01-MD06-AIT [Link zu Dokument]) geregelt.  Unter Punkt 9 Haftung und Gewährleistungen finden sie die Informationen.  .... + Weitere AIT Dokumente (Quellen mit Link!) in denen es um Haftung geht,0.283,0.269,0.355,0.406,0.283,0.203
"Bitte zeige mir das aktuelle Dokument der Entnahmeliste für Gifte.  Hier ist der Link zum Dokument RL-XYZ, welches ab 12.03.2024 gültig ist.",0.39,0.398,0.299,0.254,0.319,0.376
beschreibe die Aufgaben der in QM/ISO14011 involvierten Personen am AIT (in Center X),0.407,0.392,0.305,0.28,0.337,0.333
Wo finde ich Informationen zum Unterschriftenlauf von einem EU Projekt,0.334,0.428,0.505,0.506,0.26,0.295
Was muss ich bei einer Dienstreiseabrechnung bei einer Fahrt mit der Bahn/einem Flugzeug/einem PKW im Feld Grenze eingeben?,0.333,0.315,0.396,0.404,0.34,0.305
Welche Gate-Freigabe brauche ich für * Einreichung Kurzantrag * Unterschrift LOI * Unterschrift Grant Agreement * Unterschrift Declaration of Honor * etc,0.372,0.343,0.276,0.259,0.281,0.371
Welche Schulungen muss ich für den Senior absolvieren?,0.23,0.163,0.281,0.16,0.189,0.324
Wie kann ich mich zu einem Seminar anmelden?,0.497,0.254,0.325,0.235,0.245,0.247
ich bin krank - was muss ich beachten?,0.117,0.089,0.257,0.266,0.103,0.14
Wer ist für Firmen-AUtos zuständig?,0.199,0.311,0.306,0.157,0.209,0.257
"An wen soll ich mich wenden, wenn ich eine Flüssigkeit zu einem Labor in den USA versenden möchte?",0.449,0.475,0.321,0.078,0.184,0.264
Wie lauten die RGB Farbcodes der AIT Farbwelt?,0.273,0.358,0.23,0.273,0.251,0.385
Wie soll ich Projektdaten anonymisieren?,0.253,0.528,0.388,0.287,0.329,0.245
Nach welchem System sind wir akkreditiert?,0.271,0.524,0.403,0.284,0.251,0.263
